"scientificName","dataFrom","continent","n"
"Anthophora semirufa (Friese, 1898)","points","Africa",2
"Anthophora senescens Lepeletier, 1841","points","Africa",1
"Anthophora shestakovi Gussakovsky, 1936","points","Africa",4
"Anthophora strucki Eardley and Brooks, 1989","points","Africa",1
"Anthophora terminalis Cresson, 1869","points","Africa",94
"Anthophora tetradonta Cockerell, 1933","points","Africa",1
"Anthophora tridentella Priesner, 1957","points","Africa",6
"Anthophora urbana Cresson, 1878","points","Africa",26
"Anthophora ursina Cresson, 1869","points","Africa",13
"Anthophora ventilabris Lepeletier, 1841","points","Africa",1
"Anthophora vestita Smith, 1854","points","Africa",427
"Anthophora vidua (Klug, 1845)","points","Africa",3
"Anthophora wartmanni Friese, 1905","points","Africa",55
"Anthophora wegelini Friese, 1914","points","Africa",3
"Anthophora xanthostoma Cockerell, 1932","points","Africa",31
"Apis florea Fabricius, 1787","points","Africa",23
"Apis mellifera Linnaeus, 1758","points","Africa",16677
"Ashmeadiella bucconis (Say, 1837)","points","Africa",4
"Ashmeadiella cactorum (Cockerell, 1897)","points","Africa",1
"Aspidosmia arnoldi (Brauns, 1926)","points","Africa",19
"Aspidosmia volkmanni (Friese, 1909)","points","Africa",89
"Augochlora pura (Say, 1837)","points","Africa",618
"Augochlorella aurata (Smith, 1853)","points","Africa",380
"Augochlorella gratiosa (Smith, 1853)","points","Africa",1
"Augochloropsis metallica (Fabricius, 1793)","points","Africa",40
"Austronomia albitarsis (Friese, 1930)","points","Africa",4
"Austronomia minuta (Benoist, 1964)","points","Africa",4
"Austronomia zuala (Strand, 1911)","points","Africa",1
"Axestotrigona cameroonensis (Friese, 1900)","points","Africa",24
"Axestotrigona erythra (Schletterer, 1891)","points","Africa",73
"Axestotrigona togoensis (Stadelmann, 1895)","points","Africa",442
"Benanthis madagascariensis (Benoist, 1962)","points","Africa",5
"Biastes fulviventris (Cresson, 1878)","points","Africa",1
"Bombus affinis Cresson, 1863","points","Africa",126
"Bombus appositus Cresson, 1878","points","Africa",249
"Bombus ashtoni (Cresson, 1864)","points","Africa",416
"Bombus auricomus (Robertson, 1903)","points","Africa",44
"Bombus balteatus Dahlbom, 1832","points","Africa",352
"Bombus bifarius Cresson, 1878","points","Africa",2625
"Bombus bimaculatus Cresson, 1863","points","Africa",826
"Bombus borealis Kirby, 1837","points","Africa",2247
"Bombus brasiliensis Lepeletier, 1836","points","Africa",1
"Bombus californicus Smith, 1854","points","Africa",112
"Bombus caliginosus (Frison, 1927)","points","Africa",6
"Bombus centralis Cresson, 1864","points","Africa",625
