"variable","Name","Observed","Estimate","Est_s.e.","95%Lower","95%Upper","n","s.e.","groupNo"
"Moldova","iChao",NA,199.252,NA,172.196,238.886,"248",16.765,14
"Gabon","iNEXT",175,211.12685593900483,14.17231419632692,183.34963053661835,238.9040813413913,"1068",NA,8
"Botswana","iChao",NA,212.844,NA,194.773,238.923,"976",11.111,3
"Jersey","iNEXT",120,184.60145243735195,27.717487794205258,130.2761746187811,238.9267302559228,"1234",NA,11
"Botswana","iNEXT",154,202.3814125211984,18.650164330644994,165.82776212738065,238.93506291501615,"976",NA,3
"Trinidad and Tobago","iChao",NA,191.435,NA,163.913,238.937,"2345",18.58,22
"Lao","iChao",NA,193.87,NA,165.585,238.968,"491",18.317,12
"Senegal","iNEXT",143,202.87704918032787,18.419362300552795,166.77576245304957,238.97833590760618,"488",NA,19
"Moldova","iChao",NA,200.809,NA,174.273,239.029,"230",16.3,14
"Liberia","iChao",NA,198.218,NA,170.303,239.055,"250",17.286,12
"Botswana","iNEXT",154,204.36354056902002,17.714141826261628,169.64446057251266,239.08262056552738,"949",NA,3
"Suriname","iChao",NA,206.194,NA,185.163,239.126,"964",13.492,21
"Botswana","iNEXT",154,206.50014827995255,16.685011572059814,173.7981265170813,239.2021700428238,"843",NA,3
"El Salvador","iChao",NA,175.352,NA,145.987,239.227,"1783",22.426,7
"El Salvador","iChao",NA,175.358,NA,145.99,239.239,"2204",22.428,7
"Vietnam","iChao",NA,200.124,NA,173.619,239.26,"917",16.492,24
"Uruguay","iChao",NA,147.448,NA,110.994,239.284,"1159",30.155,23
"Belize","iNEXT",163,203.317682059242,18.355121343474213,167.3423052941701,239.2930588243139,"2577",NA,3
"Suriname","iChao",NA,210.347,NA,190.574,239.302,"909",12.25,21
"Botswana","iNEXT",154,206.49579631979697,16.744114940876422,173.67793408268017,239.31365855691377,"788",NA,3
"Singapore","iChao",NA,177.819,NA,147.755,239.315,"5322",22.213,19
"Uruguay","iNEXT",87,161.9222797927461,39.52286694641747,84.45888401199934,239.38567557349288,"965",NA,23
"Trinidad and Tobago","iChao",NA,194.662,NA,167.568,239.415,"2206",17.874,22
"Lao","iChao",NA,195.156,NA,167.011,239.464,"527",18.106,12
"Moldova","iChao",NA,204.981,NA,179.963,239.487,"246",15.028,14
"Togo","iChao",NA,156.648,NA,115.52,239.523,"94",30.144,22
"Togo","iChao",NA,156.648,NA,115.52,239.523,"94",30.144,22
"Togo","iChao",NA,156.648,NA,115.52,239.523,"94",30.144,22
"Togo","iChao",NA,156.648,NA,115.52,239.523,"94",30.144,22
"Togo","iChao",NA,156.648,NA,115.52,239.523,"94",30.144,22
"Togo","iChao",NA,156.648,NA,115.52,239.523,"94",30.144,22
